association_id,oracle_file_id,oracle_path,vendor,report_type,schedule_file_id,schedule_path,schedule_title,schedule_status_date,score,confidence,source_resolution,evidence,validation
A0011,F0003,ref1/.mpp test files/2-3-4-5/2345 - Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0010,ref1/.mpp test files/2-3-4-5/Project5_TAMPERED.mpp,Commercial Construction,2026-08-27T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: project5 tampered,"{""folder_prefix_depth"": 3, ""matched_labels"": [""project5 tampered""]}"
A0012,F0003,ref1/.mpp test files/2-3-4-5/2345 - Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0102,ref1/00_REFERENCE_INTAKEmppProject2.mpp,Commercial Construction,2026-05-24T17:00,625,confirmed,exact_label_path_best,Acumen embedded project/version label: project2,"{""folder_prefix_depth"": 1, ""matched_labels"": [""project2""]}"
A0013,F0005,ref1/.mpp test files/2-3-4-5/L12 - Detailed Metric Report.xlsx,Acumen Fuse,Acumen Detailed Metric Report,F0078,ref1/.mpp test files/Large Test File/Large Test File.mpp,Longstar Master IMS,2025-02-07T17:00,650,confirmed,exact_label_path_best,Acumen embedded project/version label: large test file,"{""folder_prefix_depth"": 2, ""matched_labels"": [""large test file""]}"
A0014,F0005,ref1/.mpp test files/2-3-4-5/L12 - Detailed Metric Report.xlsx,Acumen Fuse,Acumen Detailed Metric Report,F0079,ref1/.mpp test files/Large Test File/Large Test File2.mpp,Longstar Master IMS,2025-03-10T17:00,650,confirmed,exact_label_path_best,Acumen embedded project/version label: large test file2,"{""folder_prefix_depth"": 2, ""matched_labels"": [""large test file2""]}"
A0015,F0005,ref1/.mpp test files/2-3-4-5/L12 - Detailed Metric Report.xlsx,Acumen Fuse,Acumen Detailed Metric Report,F0080,ref1/.mpp test files/Large Test File/Large_Test_File.mpp,Longstar Master IMS,2025-02-07T17:00,650,confirmed,exact_label_path_best,Acumen embedded project/version label: large test file,"{""folder_prefix_depth"": 2, ""matched_labels"": [""large test file""]}"
A0016,F0006,ref1/.mpp test files/2-3-4-5/L12- Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0078,ref1/.mpp test files/Large Test File/Large Test File.mpp,Longstar Master IMS,2025-02-07T17:00,770,confirmed,exact_label_path_best,Acumen embedded project/version label: large test file | embedded version date matches schedule status date,"{""folder_prefix_depth"": 2, ""matched_labels"": [""large test file""]}"
A0017,F0006,ref1/.mpp test files/2-3-4-5/L12- Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0079,ref1/.mpp test files/Large Test File/Large Test File2.mpp,Longstar Master IMS,2025-03-10T17:00,770,confirmed,exact_label_path_best,Acumen embedded project/version label: large test file2 | embedded version date matches schedule status date,"{""folder_prefix_depth"": 2, ""matched_labels"": [""large test file2""]}"
A0018,F0006,ref1/.mpp test files/2-3-4-5/L12- Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0080,ref1/.mpp test files/Large Test File/Large_Test_File.mpp,Longstar Master IMS,2025-02-07T17:00,770,confirmed,exact_label_path_best,Acumen embedded project/version label: large test file | embedded version date matches schedule status date,"{""folder_prefix_depth"": 2, ""matched_labels"": [""large test file""]}"
A0019,F0007,ref1/.mpp test files/2-3-4-5/L12- Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0078,ref1/.mpp test files/Large Test File/Large Test File.mpp,Longstar Master IMS,2025-02-07T17:00,650,confirmed,exact_label_path_best,Acumen embedded project/version label: large test file,"{""folder_prefix_depth"": 2, ""matched_labels"": [""large test file""]}"
A0020,F0007,ref1/.mpp test files/2-3-4-5/L12- Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0079,ref1/.mpp test files/Large Test File/Large Test File2.mpp,Longstar Master IMS,2025-03-10T17:00,650,confirmed,exact_label_path_best,Acumen embedded project/version label: large test file2,"{""folder_prefix_depth"": 2, ""matched_labels"": [""large test file2""]}"
A0021,F0007,ref1/.mpp test files/2-3-4-5/L12- Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0080,ref1/.mpp test files/Large Test File/Large_Test_File.mpp,Longstar Master IMS,2025-02-07T17:00,650,confirmed,exact_label_path_best,Acumen embedded project/version label: large test file,"{""folder_prefix_depth"": 2, ""matched_labels"": [""large test file""]}"
A0022,F0011,ref1/.mpp test files/2-3-4-5/TP - Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0021,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2.mpp,TP4 - Data Center Fit-Out (snapshot v2),2026-02-27T17:00,795,confirmed,exact_label_path_best,Acumen embedded project/version label: tp4 datacenter v2 | embedded version date matches schedule status date,"{""folder_prefix_depth"": 3, ""matched_labels"": [""tp4 datacenter v2""]}"
A0023,F0011,ref1/.mpp test files/2-3-4-5/TP - Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0023,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v3.mpp,TP4 - Data Center Fit-Out (snapshot v3),2026-03-31T17:00,795,confirmed,exact_label_path_best,Acumen embedded project/version label: tp4 datacenter v3 | embedded version date matches schedule status date,"{""folder_prefix_depth"": 3, ""matched_labels"": [""tp4 datacenter v3""]}"
A0024,F0011,ref1/.mpp test files/2-3-4-5/TP - Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0024,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v4.mpp,TP4 - Data Center Fit-Out (snapshot v4),2026-04-30T17:00,795,confirmed,exact_label_path_best,Acumen embedded project/version label: tp4 datacenter v4 | embedded version date matches schedule status date,"{""folder_prefix_depth"": 3, ""matched_labels"": [""tp4 datacenter v4""]}"
A0025,F0011,ref1/.mpp test files/2-3-4-5/TP - Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0025,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v5.mpp,TP4 - Data Center Fit-Out (snapshot v5),2026-05-29T17:00,795,confirmed,exact_label_path_best,Acumen embedded project/version label: tp4 datacenter v5 | embedded version date matches schedule status date,"{""folder_prefix_depth"": 3, ""matched_labels"": [""tp4 datacenter v5""]}"
A0026,F0011,ref1/.mpp test files/2-3-4-5/TP - Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0130,ref1/TP1_Library_Progressed.mpp,"TP1 - Riverside Community Library (progressed, ragged actuals)",2026-03-31T17:00,745,confirmed,exact_label_path_best,Acumen embedded project/version label: tp1 library progressed | embedded version date matches schedule status date,"{""folder_prefix_depth"": 1, ""matched_labels"": [""tp1 library progressed""]}"
A0027,F0012,ref1/.mpp test files/2-3-4-5/TP - Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0021,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2.mpp,TP4 - Data Center Fit-Out (snapshot v2),2026-02-27T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: tp4 datacenter v2,"{""folder_prefix_depth"": 3, ""matched_labels"": [""tp4 datacenter v2""]}"
A0028,F0012,ref1/.mpp test files/2-3-4-5/TP - Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0023,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v3.mpp,TP4 - Data Center Fit-Out (snapshot v3),2026-03-31T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: tp4 datacenter v3,"{""folder_prefix_depth"": 3, ""matched_labels"": [""tp4 datacenter v3""]}"
A0029,F0012,ref1/.mpp test files/2-3-4-5/TP - Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0024,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v4.mpp,TP4 - Data Center Fit-Out (snapshot v4),2026-04-30T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: tp4 datacenter v4,"{""folder_prefix_depth"": 3, ""matched_labels"": [""tp4 datacenter v4""]}"
A0030,F0012,ref1/.mpp test files/2-3-4-5/TP - Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0025,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v5.mpp,TP4 - Data Center Fit-Out (snapshot v5),2026-05-29T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: tp4 datacenter v5,"{""folder_prefix_depth"": 3, ""matched_labels"": [""tp4 datacenter v5""]}"
A0031,F0012,ref1/.mpp test files/2-3-4-5/TP - Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0130,ref1/TP1_Library_Progressed.mpp,"TP1 - Riverside Community Library (progressed, ragged actuals)",2026-03-31T17:00,625,confirmed,exact_label_path_best,Acumen embedded project/version label: tp1 library progressed,"{""folder_prefix_depth"": 1, ""matched_labels"": [""tp1 library progressed""]}"
A0032,F0013,ref1/.mpp test files/2-3-4-5/TP- Detailed Metric Report.xlsx,Acumen Fuse,Acumen Detailed Metric Report,F0021,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2.mpp,TP4 - Data Center Fit-Out (snapshot v2),2026-02-27T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: tp4 datacenter v2,"{""folder_prefix_depth"": 3, ""matched_labels"": [""tp4 datacenter v2""]}"
A0033,F0013,ref1/.mpp test files/2-3-4-5/TP- Detailed Metric Report.xlsx,Acumen Fuse,Acumen Detailed Metric Report,F0023,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v3.mpp,TP4 - Data Center Fit-Out (snapshot v3),2026-03-31T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: tp4 datacenter v3,"{""folder_prefix_depth"": 3, ""matched_labels"": [""tp4 datacenter v3""]}"
A0034,F0013,ref1/.mpp test files/2-3-4-5/TP- Detailed Metric Report.xlsx,Acumen Fuse,Acumen Detailed Metric Report,F0024,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v4.mpp,TP4 - Data Center Fit-Out (snapshot v4),2026-04-30T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: tp4 datacenter v4,"{""folder_prefix_depth"": 3, ""matched_labels"": [""tp4 datacenter v4""]}"
A0035,F0013,ref1/.mpp test files/2-3-4-5/TP- Detailed Metric Report.xlsx,Acumen Fuse,Acumen Detailed Metric Report,F0025,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v5.mpp,TP4 - Data Center Fit-Out (snapshot v5),2026-05-29T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: tp4 datacenter v5,"{""folder_prefix_depth"": 3, ""matched_labels"": [""tp4 datacenter v5""]}"
A0036,F0013,ref1/.mpp test files/2-3-4-5/TP- Detailed Metric Report.xlsx,Acumen Fuse,Acumen Detailed Metric Report,F0130,ref1/TP1_Library_Progressed.mpp,"TP1 - Riverside Community Library (progressed, ragged actuals)",2026-03-31T17:00,625,confirmed,exact_label_path_best,Acumen embedded project/version label: tp1 library progressed,"{""folder_prefix_depth"": 1, ""matched_labels"": [""tp1 library progressed""]}"
A0037,F0014,ref1/.mpp test files/2-3-4-5/TP1 - Detailed Metric Report.xlsx,Acumen Fuse,Acumen Detailed Metric Report,F0130,ref1/TP1_Library_Progressed.mpp,"TP1 - Riverside Community Library (progressed, ragged actuals)",2026-03-31T17:00,625,confirmed,exact_label_path_best,Acumen embedded project/version label: tp1 library progressed,"{""folder_prefix_depth"": 1, ""matched_labels"": [""tp1 library progressed""]}"
A0038,F0015,ref1/.mpp test files/2-3-4-5/TP1 - Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0130,ref1/TP1_Library_Progressed.mpp,"TP1 - Riverside Community Library (progressed, ragged actuals)",2026-03-31T17:00,745,confirmed,exact_label_path_best,Acumen embedded project/version label: tp1 library progressed | embedded version date matches schedule status date,"{""folder_prefix_depth"": 1, ""matched_labels"": [""tp1 library progressed""]}"
A0039,F0016,ref1/.mpp test files/2-3-4-5/TP1 - Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0130,ref1/TP1_Library_Progressed.mpp,"TP1 - Riverside Community Library (progressed, ragged actuals)",2026-03-31T17:00,625,confirmed,exact_label_path_best,Acumen embedded project/version label: tp1 library progressed,"{""folder_prefix_depth"": 1, ""matched_labels"": [""tp1 library progressed""]}"
A0040,F0017,ref1/.mpp test files/2-3-4-5/TP23- Detailed Metric Report.xlsx,Acumen Fuse,Acumen Detailed Metric Report,F0131,ref1/TP2_Bridge_4x10_Calendar.mpp,TP2 - Bridge Deck Rehabilitation (4x10 calendar + holidays),2026-04-06T07:00,625,confirmed,exact_label_path_best,Acumen embedded project/version label: tp2 bridge 4x10 calendar,"{""folder_prefix_depth"": 1, ""matched_labels"": [""tp2 bridge 4x10 calendar""]}"
A0041,F0017,ref1/.mpp test files/2-3-4-5/TP23- Detailed Metric Report.xlsx,Acumen Fuse,Acumen Detailed Metric Report,F0132,ref1/TP3_Outage_DCMA_Seeded.mpp,TP3 - Coastal Plant Outage Turnaround (seeded DCMA violations),2026-04-30T17:00,625,confirmed,exact_label_path_best,Acumen embedded project/version label: tp3 outage dcma seeded,"{""folder_prefix_depth"": 1, ""matched_labels"": [""tp3 outage dcma seeded""]}"
A0042,F0018,ref1/.mpp test files/2-3-4-5/TP23- Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0131,ref1/TP2_Bridge_4x10_Calendar.mpp,TP2 - Bridge Deck Rehabilitation (4x10 calendar + holidays),2026-04-06T07:00,745,confirmed,exact_label_path_best,Acumen embedded project/version label: tp2 bridge 4x10 calendar | embedded version date matches schedule status date,"{""folder_prefix_depth"": 1, ""matched_labels"": [""tp2 bridge 4x10 calendar""]}"
A0043,F0018,ref1/.mpp test files/2-3-4-5/TP23- Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0132,ref1/TP3_Outage_DCMA_Seeded.mpp,TP3 - Coastal Plant Outage Turnaround (seeded DCMA violations),2026-04-30T17:00,745,confirmed,exact_label_path_best,Acumen embedded project/version label: tp3 outage dcma seeded | embedded version date matches schedule status date,"{""folder_prefix_depth"": 1, ""matched_labels"": [""tp3 outage dcma seeded""]}"
A0044,F0019,ref1/.mpp test files/2-3-4-5/TP23- Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0131,ref1/TP2_Bridge_4x10_Calendar.mpp,TP2 - Bridge Deck Rehabilitation (4x10 calendar + holidays),2026-04-06T07:00,625,confirmed,exact_label_path_best,Acumen embedded project/version label: tp2 bridge 4x10 calendar,"{""folder_prefix_depth"": 1, ""matched_labels"": [""tp2 bridge 4x10 calendar""]}"
A0045,F0019,ref1/.mpp test files/2-3-4-5/TP23- Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0132,ref1/TP3_Outage_DCMA_Seeded.mpp,TP3 - Coastal Plant Outage Turnaround (seeded DCMA violations),2026-04-30T17:00,625,confirmed,exact_label_path_best,Acumen embedded project/version label: tp3 outage dcma seeded,"{""folder_prefix_depth"": 1, ""matched_labels"": [""tp3 outage dcma seeded""]}"
A0046,F0027,ref1/.mpp test files/EVM/EVM- Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0032,ref1/.mpp test files/EVM/EVM1.mpp,Project Schedule,2012-09-01T17:00,795,confirmed,exact_label_path_best,Acumen embedded project/version label: evm1 | embedded version date matches schedule status date,"{""folder_prefix_depth"": 3, ""matched_labels"": [""evm1""]}"
A0047,F0027,ref1/.mpp test files/EVM/EVM- Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0034,ref1/.mpp test files/EVM/EVM2.mpp,Project Schedule,2012-09-12T17:00,795,confirmed,exact_label_path_best,Acumen embedded project/version label: evm2 | embedded version date matches schedule status date,"{""folder_prefix_depth"": 3, ""matched_labels"": [""evm2""]}"
A0048,F0029,ref1/.mpp test files/EVM/EVM.afw,Acumen Fuse Workspace,Acumen AFW Workspace,F0032,ref1/.mpp test files/EVM/EVM1.mpp,Project Schedule,2012-09-01T17:00,1075,confirmed,explicit_mpp_reference,AFW explicitly references evm1.mpp,"{""explicit_reference_label"": ""evm1"", ""folder_prefix_depth"": 3}"
A0049,F0029,ref1/.mpp test files/EVM/EVM.afw,Acumen Fuse Workspace,Acumen AFW Workspace,F0034,ref1/.mpp test files/EVM/EVM2.mpp,Project Schedule,2012-09-12T17:00,1075,confirmed,explicit_mpp_reference,AFW explicitly references evm2.mpp,"{""explicit_reference_label"": ""evm2"", ""folder_prefix_depth"": 3}"
A0050,F0030,ref1/.mpp test files/EVM/EVM1 Forensic Analysis Report.xlsx,Acumen Fuse,Acumen Forensic Analysis Report,F0032,ref1/.mpp test files/EVM/EVM1.mpp,Project Schedule,2012-09-01T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: evm1,"{""folder_prefix_depth"": 3, ""matched_labels"": [""evm1""]}"
A0051,F0030,ref1/.mpp test files/EVM/EVM1 Forensic Analysis Report.xlsx,Acumen Fuse,Acumen Forensic Analysis Report,F0034,ref1/.mpp test files/EVM/EVM2.mpp,Project Schedule,2012-09-12T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: evm2,"{""folder_prefix_depth"": 3, ""matched_labels"": [""evm2""]}"
A0052,F0031,ref1/.mpp test files/EVM/EVM1- Quick Add Metrics .xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0032,ref1/.mpp test files/EVM/EVM1.mpp,Project Schedule,2012-09-01T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: evm1,"{""folder_prefix_depth"": 3, ""matched_labels"": [""evm1""]}"
A0053,F0031,ref1/.mpp test files/EVM/EVM1- Quick Add Metrics .xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0034,ref1/.mpp test files/EVM/EVM2.mpp,Project Schedule,2012-09-12T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: evm2,"{""folder_prefix_depth"": 3, ""matched_labels"": [""evm2""]}"
A0054,F0033,ref1/.mpp test files/EVM/EVM2 - Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0032,ref1/.mpp test files/EVM/EVM1.mpp,Project Schedule,2012-09-01T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: evm1,"{""folder_prefix_depth"": 3, ""matched_labels"": [""evm1""]}"
A0055,F0033,ref1/.mpp test files/EVM/EVM2 - Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0034,ref1/.mpp test files/EVM/EVM2.mpp,Project Schedule,2012-09-12T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: evm2,"{""folder_prefix_depth"": 3, ""matched_labels"": [""evm2""]}"
A0056,F0035,ref1/.mpp test files/EVM/EVM3- Detailed Metric Report.xlsx,Acumen Fuse,Acumen Detailed Metric Report,F0032,ref1/.mpp test files/EVM/EVM1.mpp,Project Schedule,2012-09-01T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: evm1,"{""folder_prefix_depth"": 3, ""matched_labels"": [""evm1""]}"
A0057,F0035,ref1/.mpp test files/EVM/EVM3- Detailed Metric Report.xlsx,Acumen Fuse,Acumen Detailed Metric Report,F0034,ref1/.mpp test files/EVM/EVM2.mpp,Project Schedule,2012-09-12T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: evm2,"{""folder_prefix_depth"": 3, ""matched_labels"": [""evm2""]}"
A0058,F0037,ref1/.mpp test files/Hard_File/Hard_File_Fuse - Fuse Analysis Report.xlsx,Acumen Fuse,Acumen Analysis Report,F0036,ref1/.mpp test files/Hard_File/Hard_File.mpp,Customer Service Ramp Up,2026-07-07T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: hard file,"{""folder_prefix_depth"": 3, ""matched_labels"": [""hard file""]}"
A0059,F0037,ref1/.mpp test files/Hard_File/Hard_File_Fuse - Fuse Analysis Report.xlsx,Acumen Fuse,Acumen Analysis Report,F0058,ref1/.mpp test files/Hard_File/Hard_File_updated.mpp,Customer Service Ramp Up,2026-08-11T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: hard file updated,"{""folder_prefix_depth"": 3, ""matched_labels"": [""hard file updated""]}"
A0060,F0038,ref1/.mpp test files/Hard_File/Hard_File_Fuse - Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0036,ref1/.mpp test files/Hard_File/Hard_File.mpp,Customer Service Ramp Up,2026-07-07T17:00,795,confirmed,exact_label_path_best,Acumen embedded project/version label: hard file | embedded version date matches schedule status date,"{""folder_prefix_depth"": 3, ""matched_labels"": [""hard file""]}"
A0061,F0038,ref1/.mpp test files/Hard_File/Hard_File_Fuse - Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0058,ref1/.mpp test files/Hard_File/Hard_File_updated.mpp,Customer Service Ramp Up,2026-08-11T17:00,795,confirmed,exact_label_path_best,Acumen embedded project/version label: hard file updated | embedded version date matches schedule status date,"{""folder_prefix_depth"": 3, ""matched_labels"": [""hard file updated""]}"
A0062,F0039,ref1/.mpp test files/Hard_File/Hard_File_Fuse - Quick Add Metrics .xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0036,ref1/.mpp test files/Hard_File/Hard_File.mpp,Customer Service Ramp Up,2026-07-07T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: hard file,"{""folder_prefix_depth"": 3, ""matched_labels"": [""hard file""]}"
A0063,F0039,ref1/.mpp test files/Hard_File/Hard_File_Fuse - Quick Add Metrics .xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0058,ref1/.mpp test files/Hard_File/Hard_File_updated.mpp,Customer Service Ramp Up,2026-08-11T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: hard file updated,"{""folder_prefix_depth"": 3, ""matched_labels"": [""hard file updated""]}"
A0064,F0040,ref1/.mpp test files/Hard_File/Hard_File_Fuse - Summary Metric Report.xlsx,Acumen Fuse,Acumen Summary Metrics Report,F0036,ref1/.mpp test files/Hard_File/Hard_File.mpp,Customer Service Ramp Up,2026-07-07T17:00,795,confirmed,exact_label_path_best,Acumen embedded project/version label: hard file | embedded version date matches schedule status date,"{""folder_prefix_depth"": 3, ""matched_labels"": [""hard file""]}"
A0065,F0040,ref1/.mpp test files/Hard_File/Hard_File_Fuse - Summary Metric Report.xlsx,Acumen Fuse,Acumen Summary Metrics Report,F0058,ref1/.mpp test files/Hard_File/Hard_File_updated.mpp,Customer Service Ramp Up,2026-08-11T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: hard file updated,"{""folder_prefix_depth"": 3, ""matched_labels"": [""hard file updated""]}"
A0066,F0041,ref1/.mpp test files/Hard_File/Hard_File_missing_logic.xlsx,Acumen Fuse,Acumen Detailed Metric Offender Extract,F0036,ref1/.mpp test files/Hard_File/Hard_File.mpp,Customer Service Ramp Up,2026-07-07T17:00,1500,confirmed,exact_uid_name_day_dates,Project column exact: Hard_File | UID exact 7/7 | Task name exact 7/7 | Start date exact 7/7 | Finish date exact 7/7,"{""date_granularity"": ""calendar day"", ""finish_date_match"": 7, ""name_match"": 7, ""rows"": 7, ""start_date_match"": 7, ""uid_match"": 7}"
A0067,F0042,ref1/.mpp test files/Hard_File/Hard_File_Path_Trace_UID_155_Directional_Path_Analysis_2026-7-8-13-30-7.xlsx,SSI Tools,SSI Directional Path Export,F0036,ref1/.mpp test files/Hard_File/Hard_File.mpp,Customer Service Ramp Up,2026-07-07T17:00,1300,confirmed,exact,SSI Project column exact alias | UID+name exact 90/90 | start/finish exact 90/90,"{""date_comparable"": 90, ""date_match"": 90, ""name_match"": 90, ""rows"": 90, ""uid_match"": 90}"
